id,plant,disease,symptoms,cause,treatment,prevention,affected_part,severity,favorable_conditions
87,Cucumber,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,Low,Excess moisture
88,Maize,Gray Leaf Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Cool and wet
89,Strawberry,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,Low,Cool and wet
90,Cucumber,Fusarium Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Severe,Excess moisture
91,Strawberry,Angular Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Severe,Cool and wet
92,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Severe,Cool and wet
93,Watermelon,Fusarium Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Moderate,Poor airflow
94,Mango,Dieback,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,High,Excess moisture
95,Watermelon,Fusarium Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Severe,Poor airflow
96,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,Moderate,Excess moisture
97,Cucumber,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,High,Warm and humid
98,Guava,Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,Excess moisture
99,Apple,Black Rot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Moderate,Cool and wet
100,Strawberry,Gray Mold,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,Excess moisture
101,Bell Pepper,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Fruit,Low,Poor airflow
102,Pomegranate,Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,Poor airflow
103,Cucumber,Downy Mildew,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,Poor airflow
